City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
190,ugoofaaru,100,MV,1577132781,85,5.67,73.0,78.87,14.03
191,kosh-agach,97,RU,1577132781,85,49.99,88.66,-16.11,0.96
192,mendi,0,ET,1577132781,47,9.8,35.1,66.54,0.36
193,laramie,1,US,1577132781,21,41.31,-105.59,55.0,10.29
194,henties bay,30,NA,1577132781,89,-22.12,14.28,62.01,1.01
195,sao filipe,69,CV,1577132782,74,14.9,-24.5,73.47,7.36
196,norman wells,40,CA,1577132782,73,65.28,-126.83,-32.8,2.24
197,iqaluit,90,CA,1577132782,84,63.75,-68.52,3.2,2.24
198,bacolod,100,PH,1577132782,85,10.68,122.95,71.8,4.25
199,nongstoin,75,IN,1577132782,94,25.52,91.27,41.04,4.9
200,saint-leu,23,RE,1577132782,83,-21.15,55.28,80.6,3.36
201,hualmay,99,PE,1577132782,61,-11.1,-77.61,74.52,9.51
202,whitley bay,40,GB,1577132782,81,55.04,-1.44,45.0,19.46
203,victoria,75,BN,1577132782,94,5.28,115.24,77.0,3.36
204,abalak,0,NE,1577132782,11,15.46,6.28,65.46,10.36
205,sexsmith,20,CA,1577132782,84,55.35,-118.78,25.0,5.82
206,ouahigouya,32,BF,1577132782,9,13.58,-2.42,72.88,10.47
207,buala,91,SB,1577132782,81,-8.15,159.59,81.25,3.56
208,waddan,0,LY,1577132782,37,29.16,16.14,58.68,8.63
209,balotra,63,IN,1577132782,22,25.83,72.24,63.68,11.39
210,batemans bay,100,AU,1577132783,87,-35.71,150.18,64.99,7.0
211,beyneu,34,KZ,1577132783,78,45.32,55.19,31.03,17.94
212,richards bay,2,ZA,1577132783,89,-28.77,32.06,75.97,19.75
213,havre-saint-pierre,90,CA,1577132783,44,50.23,-63.6,21.2,10.29
214,touros,100,BR,1577132783,65,-5.2,-35.46,82.4,13.87
215,altamira,40,BR,1577132776,63,-3.2,-52.21,91.4,5.82
216,sorland,100,NO,1577132783,87,67.67,12.69,42.96,7.16
217,provideniya,32,RU,1577132783,61,64.42,-173.23,12.2,15.66
218,kirakira,85,SB,1577132783,81,-10.46,161.92,80.08,3.8
219,san antonio,0,CL,1577132509,72,-33.58,-71.61,69.8,12.75
220,yuty,0,PY,1577132783,29,-26.61,-56.25,83.55,4.76
221,tateyama,100,JP,1577132783,91,36.66,137.31,42.01,1.99
222,arlit,0,NE,1577132783,11,18.74,7.39,69.85,12.88
223,thinadhoo,100,MV,1577132783,86,0.53,72.93,79.74,16.15
224,magadan,92,RU,1577132783,83,59.56,150.8,0.0,15.05
225,hofn,90,IS,1577132784,86,64.25,-15.21,33.8,4.7
226,atasu,94,KZ,1577132784,97,48.68,71.64,-3.44,5.86
227,bhola,40,PK,1577132784,93,32.66,73.89,46.4,0.49
228,hambantota,72,LK,1577132784,84,6.12,81.12,79.38,14.09
229,torbay,20,CA,1577132784,79,47.66,-52.73,24.01,4.7
230,araceli,100,PH,1577132784,78,10.55,119.99,81.21,19.64
231,pacific grove,1,US,1577132784,58,36.62,-121.92,57.2,5.82
232,havoysund,100,NO,1577132784,74,71.0,24.66,32.0,14.99
233,nantucket,1,US,1577132784,75,41.28,-70.1,48.99,13.87
234,gunjur,0,GM,1577132784,61,13.18,-16.76,78.8,6.93
235,pevek,0,RU,1577132784,98,69.7,170.27,-22.16,3.44
236,cap malheureux,75,MU,1577132784,74,-19.98,57.61,80.6,13.87
237,impfondo,9,CD,1577132784,64,1.62,18.06,77.2,3.15
238,listvyanskiy,96,RU,1577132784,91,54.44,83.49,7.41,13.73
239,caucaia,96,BR,1577132785,62,-3.73,-38.66,86.0,11.41
240,bandarbeyla,83,SO,1577132785,72,9.49,50.81,77.18,24.25
241,basco,1,US,1577132785,44,40.33,-91.2,59.0,6.93
242,canby,90,US,1577132785,81,45.26,-122.69,46.99,4.7
243,boende,86,CD,1577132785,81,-0.28,20.88,75.06,1.03
244,san francisco de becerra,100,HN,1577132785,67,14.63,-86.1,78.46,7.2
245,saint-georges,54,CA,1577132631,69,46.12,-70.67,39.99,11.01
246,cidreira,0,BR,1577132785,64,-30.17,-50.22,71.67,20.76
247,harindanga,64,IN,1577132785,93,22.04,88.32,57.2,3.36
248,ornskoldsvik,100,SE,1577132785,100,63.29,18.72,32.0,3.36
249,kommunisticheskiy,0,RU,1577132785,90,61.68,64.48,3.6,3.38
250,ponta do sol,99,BR,1577132785,88,-20.63,-46.0,71.58,4.34
251,vardo,1,US,1577132677,52,39.62,-77.74,55.0,3.36
252,novorudnyy,0,RU,1577132785,71,51.5,58.19,6.8,8.95
253,xuddur,3,SO,1577132785,44,4.12,43.89,76.77,9.66
254,howard springs,20,AU,1577132785,83,-12.5,131.05,82.4,2.3
255,kavieng,100,PG,1577132786,75,-2.57,150.8,84.38,11.41
256,mana,0,NG,1577132786,11,13.03,5.27,69.1,9.91
257,rocha,3,UY,1577132786,32,-34.48,-54.34,76.73,6.4
258,talnakh,75,RU,1577132786,85,69.49,88.39,10.4,31.32
259,luanda,75,AO,1577132786,74,-8.83,13.24,82.4,9.17
260,ingham,72,AU,1577132786,87,-18.65,146.16,75.16,1.32
261,fairbanks,90,US,1577132786,83,64.84,-147.72,-8.0,1.88
262,shuangcheng,0,CN,1577132786,83,45.37,126.3,-13.0,6.71
263,vaitape,100,PF,1577132786,89,-16.52,-151.75,77.68,11.95
264,mezhova,100,UA,1577132786,71,48.26,36.73,47.12,15.82
265,durusu,20,TR,1577132786,70,37.53,40.83,48.2,20.8
266,ribeira grande,40,PT,1577132786,76,38.52,-28.7,57.2,4.7
267,shenjiamen,100,CN,1577132786,85,29.96,122.3,54.95,18.48
268,kungurtug,100,RU,1577132786,98,50.6,97.53,-1.41,0.78
269,karla,90,EE,1577132786,75,59.37,24.93,41.0,4.7
270,masvingo,75,ZW,1577132787,64,-20.08,30.83,67.6,5.64
271,vyazemskiy,0,RU,1577132787,90,47.53,134.76,-8.41,4.92
